Strain,Biolector well,Biolector column,Biolector row,Cycle,Time,Feeding time,Volume,Accum. feed [uL],Biomass concentration [light scatter],DO%,Sample volume
Yeast_strain_1,F02,02,F,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.5,148.5800018310547,0.0
Yeast_strain_2,F03,03,F,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.940000057220459,147.75999450683594,0.0
Yeast_strain_2,F04,04,F,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.509999990463257,148.55999755859375,0.0
Yeast_strain_3,F05,05,F,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.829999923706055,148.1699981689453,0.0
Yeast_strain_3,F06,06,F,152.0,15.202799797058104,0.8999996185302734,801.28,1.28,3.430000066757202,147.75,0.0
Yeast_strain_1,C01,01,C,153.0,15.302800178527832,1.0,801.44,1.44,2.859999895095825,148.1999969482422,0.0
Yeast_strain_1,C02,02,C,153.0,15.302800178527832,1.0,801.44,1.44,2.8299999237060547,147.72999572753906,0.0
Yeast_strain_2,C03,03,C,153.0,15.302800178527832,1.0,801.44,1.44,2.9200000762939453,147.8300018310547,0.0
Yeast_strain_2,C04,04,C,153.0,15.302800178527832,1.0,801.44,1.44,2.9100000858306885,147.88999938964844,0.0
Yeast_strain_3,C05,05,C,153.0,15.302800178527832,1.0,801.44,1.44,3.059999942779541,148.32000732421875,0.0
Yeast_strain_3,C06,06,C,153.0,15.302800178527832,1.0,801.44,1.44,2.9200000762939453,147.41000366210938,0.0
Yeast_strain_1,D01,01,D,153.0,15.302800178527832,1.0,801.44,1.44,3.180000066757202,148.22999572753906,0.0
Yeast_strain_1,D02,02,D,153.0,15.302800178527832,1.0,801.44,1.44,3.25,147.08999633789062,0.0
Yeast_strain_2,D03,03,D,153.0,15.302800178527832,1.0,801.44,1.44,3.2699999809265137,147.67999267578125,0.0
Yeast_strain_2,D04,04,D,153.0,15.302800178527832,1.0,801.44,1.44,3.430000066757202,147.4499969482422,0.0
Yeast_strain_3,D05,05,D,153.0,15.302800178527832,1.0,801.44,1.44,3.430000066757202,147.8800048828125,0.0
Yeast_strain_3,D06,06,D,153.0,15.302800178527832,1.0,801.44,1.44,3.619999885559082,147.1999969482422,0.0
Yeast_strain_1,E01,01,E,153.0,15.302800178527832,1.0,801.44,1.44,3.549999952316284,148.3699951171875,0.0
Yeast_strain_1,E02,02,E,153.0,15.302800178527832,1.0,801.44,1.44,3.359999895095825,148.00999450683594,0.0
Yeast_strain_2,E03,03,E,153.0,15.302800178527832,1.0,801.44,1.44,3.5199999809265137,147.08999633789062,0.0
Yeast_strain_2,E04,04,E,153.0,15.302800178527832,1.0,801.44,1.44,3.559999942779541,148.50999450683594,0.0
Yeast_strain_3,E05,05,E,153.0,15.302800178527832,1.0,801.44,1.44,3.7100000381469727,148.13999938964844,0.0
Yeast_strain_3,E06,06,E,153.0,15.302800178527832,1.0,801.44,1.44,3.7799999713897705,148.02999877929688,0.0
