Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.3963963963964,37.61518709251526,7108.001130171537,5685.945259616286,0.0,501.47880714689217,181.47880714689214,442.9980856539571,0.075008527890785,14.174080796378451,11.338356035354392,0.0,0.100007580060067
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.45645645645645,37.68105414657068,7150.816833579525,5721.118798684552,0.0,502.27155633048056,182.27155633048048,444.93306997195003,0.07502127817442564,14.236953583082235,11.390489321119782,0.0,0.10001891214430765
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.51651651651652,37.705176646291854,7193.913241237346,5756.522939170339,0.0,503.06908109714743,183.06908109714738,446.88074025042437,0.07495029621788786,14.30005045340509,11.442808066470496,0.0,0.09995580909832277
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.57657657657658,37.824907204058256,7237.217663543905,5792.097965821523,0.0,503.87141021539645,183.8714102153964,448.8378114040727,0.07506857193562293,14.363223466975667,11.495190733972185,0.0,0.10006093426108603
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.63663663663664,37.82577497434041,7280.847595107343,5827.940401662621,0.0,504.6785726270229,184.67857262702282,450.8095934057811,0.07495022976197392,14.426702439947203,11.547826116980195,0.0,0.09995575000027451
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.6966966966967,37.923187342499546,7324.688173346802,5863.955885906498,0.0,505.49059744813445,185.49059744813437,452.79089523274735,0.07502253757823978,14.490256021227669,11.60052415516624,0.0,0.10002003139639463
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.75675675675676,37.97474184359978,7368.817955896289,5900.208954454446,0.0,506.30751397031094,186.30751397031088,454.78526716624134,0.07500331477566528,14.554036336755582,11.653409818445683,0.0,0.10000294642385033
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.81681681681682,38.01575579463026,7413.219445176187,5936.685232865517,0.0,507.12935166149936,187.1293516614993,456.79191843233036,0.07496264152346907,14.618005092563427,11.706451644763323,0.0,0.0999667869506884
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.87687687687688,38.12817369459849,7457.849949324139,5973.349649337335,0.0,507.9561401672362,187.95614016723607,458.80891964348626,0.07506194074560338,14.682074611537848,11.75957760323698,0.0,0.10005504328754847
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.93693693693694,38.129974768614666,7502.809470060934,6010.284356308213,0.0,508.787909311607,188.78790931160694,460.8407902107217,0.07494276902178108,14.746438216686947,11.812946507396694,0.0,0.09994911507627668
